figure,scenario,year,label,cost_ntd_per_tco2
A,Reference,2038,Scooters,11015.463812449743
A,Reference,2039,Scooters,10902.609622470203
A,Reference,2040,Scooters,10791.02693647203
A,Reference,2041,Scooters,10728.740047788953
A,Reference,2042,Scooters,10666.593603234105
A,Reference,2043,Scooters,10604.587128333445
A,Reference,2044,Scooters,10542.720150747802
A,Reference,2045,Scooters,10480.992200260893
A,Reference,2046,Scooters,10419.402808767403
A,Reference,2047,Scooters,10357.951510261126
A,Reference,2048,Scooters,10296.637840823249
A,Reference,2049,Scooters,10235.461338610656
A,Reference,2050,Scooters,10174.421543844328
A,Optimistic,2025,Buses,29951.505570999132
A,Optimistic,2026,Buses,25857.809347484224
A,Optimistic,2027,Buses,22489.706198913704
A,Optimistic,2028,Buses,19647.41663178599
A,Optimistic,2029,Buses,17194.625762356205
A,Optimistic,2030,Buses,15034.412462872166
A,Optimistic,2031,Buses,14094.713073694478
A,Optimistic,2032,Buses,13244.072029821567
A,Optimistic,2033,Buses,12469.55502196481
A,Optimistic,2034,Buses,11760.560687206393
A,Optimistic,2035,Buses,11108.312873973306
A,Optimistic,2036,Buses,10697.66893198599
A,Optimistic,2037,Buses,10311.522297939582
A,Optimistic,2038,Buses,9947.638986531807
A,Optimistic,2039,Buses,9604.044900144352
A,Optimistic,2040,Buses,9278.988945619136
A,Optimistic,2041,Buses,9075.702805472354
A,Optimistic,2042,Buses,8879.348594555238
A,Optimistic,2043,Buses,8689.537129287713
A,Optimistic,2044,Buses,8505.906268050723
A,Optimistic,2045,Buses,8328.118534922154
A,Optimistic,2046,Buses,8142.9951097837975
A,Optimistic,2047,Buses,7963.635270801203
A,Optimistic,2048,Buses,7789.7247553743155
A,Optimistic,2049,Buses,7620.969756920997
A,Optimistic,2050,Buses,7457.095201818099
A,Optimistic,2025,Light Trucks,33937.638520834145
A,Optimistic,2026,Light Trucks,31286.871252669636
A,Optimistic,2027,Light Trucks,28738.2094873215
A,Optimistic,2028,Light Trucks,26268.832638522625
A,Optimistic,2029,Light Trucks,23857.231617807498
A,Optimistic,2030,Light Trucks,21482.57789971101
A,Optimistic,2031,Light Trucks,20588.857748025024
A,Optimistic,2032,Light Trucks,19756.51203075126
A,Optimistic,2033,Light Trucks,18978.844555857853
A,Optimistic,2034,Light Trucks,18250.045171496444
A,Optimistic,2035,Light Trucks,17565.042065422003
A,Optimistic,2036,Light Trucks,16755.94624461857
A,Optimistic,2037,Light Trucks,16000.278796290992
A,Optimistic,2038,Light Trucks,15292.495522327412
A,Optimistic,2039,Light Trucks,14627.775826896011
A,Optimistic,2040,Light Trucks,14001.90750996338
A,Optimistic,2041,Light Trucks,13549.64377190822
A,Optimistic,2042,Light Trucks,13112.47681990296
A,Optimistic,2043,Light Trucks,12689.391324190123
A,Optimistic,2044,Light Trucks,12279.446990313163
A,Optimistic,2045,Light Trucks,11881.771079957167
A,Optimistic,2046,Light Trucks,11472.218176652754
A,Optimistic,2047,Light Trucks,11074.711414011852
A,Optimistic,2048,Light Trucks,10688.444189045676
A,Optimistic,2049,Light Trucks,10312.664497639138
A,Optimistic,2050,Light Trucks,9946.66965679279
A,Optimistic,2025,Cars,19437.826934842316
A,Optimistic,2026,Cars,17854.72053317962
A,Optimistic,2027,Cars,16182.452595579225
A,Optimistic,2028,Cars,14401.176250670549
A,Optimistic,2029,Cars,12486.381604395505
A,Optimistic,2030,Cars,10407.329330718112
A,Optimistic,2031,Cars,9957.411595923304
A,Optimistic,2032,Cars,9509.02582024652
A,Optimistic,2033,Cars,9060.927311219144
A,Optimistic,2034,Cars,8611.823545485806
A,Optimistic,2035,Cars,8160.358973631374
A,Optimistic,2036,Cars,7782.649181080573
A,Optimistic,2037,Cars,7419.487113171007
A,Optimistic,2038,Cars,7069.768045838162
A,Optimistic,2039,Cars,6732.48361108026
A,Optimistic,2040,Cars,6406.7109667857985
A,Optimistic,2041,Cars,6147.167771459306
A,Optimistic,2042,Cars,5891.782801676078
A,Optimistic,2043,Cars,5640.284196180192
A,Optimistic,2044,Cars,5392.411356909731
A,Optimistic,2045,Cars,5147.913984962069
A,Optimistic,2046,Cars,4894.606304939888
A,Optimistic,2047,Cars,4644.767146514827
A,Optimistic,2048,Cars,4398.147821111531
A,Optimistic,2049,Cars,4154.508798845682
A,Optimistic,2050,Cars,3913.6188815532223
A,Optimistic,2025,Scooters,12246.748405850842
A,Optimistic,2026,Scooters,12151.770061691072
A,Optimistic,2027,Scooters,12060.457610861848
A,Optimistic,2028,Scooters,11972.705722009863
A,Optimistic,2029,Scooters,11888.41568105316
A,Optimistic,2030,Scooters,11807.495044578081
A,Optimistic,2031,Scooters,11661.204858708472
A,Optimistic,2032,Scooters,11517.231812367314
A,Optimistic,2033,Scooters,11375.52128519952
A,Optimistic,2034,Scooters,11236.020360170904
A,Optimistic,2035,Scooters,11098.677757684864
A,Optimistic,2036,Scooters,10963.443772733535
A,Optimistic,2037,Scooters,10830.27021492162
A,Optimistic,2038,Scooters,10699.110351210906
A,Optimistic,2039,Scooters,10569.918851242579
A,Optimistic,2040,Scooters,10442.651735102834
A,Optimistic,2041,Scooters,10362.104058754481
A,Optimistic,2042,Scooters,10282.050867865686
A,Optimistic,2043,Scooters,10202.487622871218
A,Optimistic,2044,Scooters,10123.409839602919
A,Optimistic,2045,Scooters,10044.813088447248
A,Optimistic,2046,Scooters,9966.692993518162
A,Optimistic,2047,Scooters,9889.045231844948
A,Optimistic,2048,Scooters,9811.86553257484
A,Optimistic,2049,Scooters,9735.149676189933
A,Optimistic,2050,Scooters,9658.893493738187
B,Conservative,2025,Battery Electric Truck,113421.37488059008
B,Conservative,2026,Battery Electric Truck,90028.83112801505
B,Conservative,2027,Battery Electric Truck,74463.85360039366
B,Conservative,2028,Battery Electric Truck,63360.69523246688
B,Conservative,2029,Battery Electric Truck,55041.3421584245
B,Conservative,2030,Battery Electric Truck,48575.47816311906
B,Conservative,2031,Battery Electric Truck,45103.38377665692
B,Conservative,2032,Battery Electric Truck,42068.946598620365
B,Conservative,2033,Battery Electric Truck,39394.32275395269
B,Conservative,2034,Battery Electric Truck,37019.09603900964
B,Conservative,2035,Battery Electric Truck,34895.65929623827
B,Conservative,2036,Battery Electric Truck,33024.03035566252
B,Conservative,2037,Battery Electric Truck,31331.790225662156
B,Conservative,2038,Battery Electric Truck,29794.327707812783
B,Conservative,2039,Battery Electric Truck,28391.336757665078
B,Conservative,2040,Battery Electric Truck,27105.914569407214
B,Conservative,2041,Battery Electric Truck,26597.395982237475
B,Conservative,2042,Battery Electric Truck,26107.60609045908
