vehicle_technology_case,vehicle_technology_trajectory,charging_assumption_case,year,passenger_car_residential_energy_share,public_l2_utilization,public_dcfc_utilization,depot_utilization_of_12h_window,passenger_car_electricity_twh,light_truck_electricity_twh,bus_electricity_twh,heavy_truck_electricity_twh,required_passenger_car_l2_ports,required_passenger_car_dcfc_ports,required_light_truck_50kw_depot_chargers,required_bus_150kw_depot_chargers,required_heavy_truck_150kw_depot_chargers,required_total_chargers,cumulative_passenger_car_l2_investment_billion_ntd,cumulative_passenger_car_dcfc_investment_billion_ntd,cumulative_light_truck_depot_investment_billion_ntd,cumulative_bus_depot_investment_billion_ntd,cumulative_heavy_truck_depot_investment_billion_ntd,cumulative_total_investment_billion_ntd
Conservative,Static,Reference,2050,0.4,0.18,0.1,0.4,14.116076167699998,3.7161114318700004,2.4805942559999994,3.656035455975,575508.6500203847,48342.72660171232,42421.36337751142,9439.095342465751,13911.854855308218,689623.6901973824,133.764148423141,107.76316531991053,89.6535514864551,55.5547602977085,62.78826506976259,449.5238905969777
Conservative,Static,Optimistic,2025,0.5,0.3,0.2,0.6,0.2550209445875,0.015088479155085226,0.21269157780937498,0.0116281013625,5198.567852811073,363.89974969677513,114.82860848618894,539.5524551227169,29.497974029680368,6246.346640146435,0.0,0.0,0.17062356189941358,0.3874338488620461,0.08218916834379003,0.6402465791052498
Conservative,Static,Optimistic,2026,0.5,0.3,0.2,0.6,0.37790859138499994,0.03629453377944319,0.27430807488875,0.03381887214,7703.616099661609,539.2531269763127,276.21410791052654,695.8601595351344,85.79115205479452,9300.734646138377,0.24455542902675476,0.0,0.46482997835597745,0.9277245938599178,0.24655056230443875,1.8836605635470887
Conservative,Static,Optimistic,2027,0.5,0.3,0.2,0.6,0.5389477953924999,0.06648868110807388,0.35659619076812493,0.06712221269249999,10986.378738431587,769.0465116902111,506.00213933085143,904.607282516806,170.27451215753425,13336.309184126989,0.9500461062128637,0.0,0.8826192493696916,1.6208722349936158,0.49308418188194614,3.946621772458117
Conservative,Static,Optimistic,2028,0.5,0.3,0.2,0.6,0.7381385566099999,0.10567092114097729,0.45955592544749996,0.11153812302,15046.855769121004,1053.27990383847,804.1927027471636,1165.793824067732,282.9480543378996,18353.07025411227,1.8008916032487159,0.0,1.423991374940556,2.4668767722631406,0.8217900270763123,6.513549777528725
Conservative,Static,Optimistic,2029,0.5,0.3,0.2,0.6,0.9754808750374998,0.15384125387815342,0.5831872789268749,0.1670666031225,19885.047191729853,1391.95330342109,1170.7857981594627,1479.4197841879122,423.8117785958904,24351.017856094208,2.7970919201343096,0.0,2.08894635506857,3.465738205668492,1.232668097887537,9.584444578758909
Conservative,Static,Optimistic,2030,0.5,0.3,0.2,0.6,1.250974750675,0.2109996793196023,0.72749025120625,0.233707653,25500.95300625815,1785.0667104380707,1605.7814255677497,1845.4851628773465,592.8656849315068,31330.151990072827,3.938647056869648,0.6331882057484621,2.8774841897537353,4.617456535209669,1.7257183943156207,13.792494381897136
Conservative,Static,Optimistic,2031,0.5,0.3,0.2,0.6,1.5836959621274995,0.27714619746532393,0.8717932234856249,0.3114612726525,32283.430408665597,2259.840128606592,2109.179584972024,2211.550541566781,790.109773344749,39654.11043715574,5.298234423379601,1.7789493203535294,3.789604878996051,5.7691748647508465,2.300940916360563,18.93690440384059
Conservative,Static,Optimistic,2032,0.5,0.3,0.2,0.6,1.973644509395,0.3522808083153182,1.0160961957649999,0.40032746208000003,40232.479398952215,2816.273557926655,2680.9802763722846,2577.615920256215,1015.5440438356165,49322.89319734298,6.875854019664169,3.072245577106088,4.825308422795515,6.920893194292023,2.958335664022364,24.65263687788016
Conservative,Static,Optimistic,2033,0.5,0.3,0.2,0.6,2.4208203924774994,0.43640351186958526,1.160399168044375,0.5003062212825,49348.09997711798,3454.3669983982586,3321.1834997685332,2943.6812989456494,1269.1684964041096,60336.50027063454,8.67150584572335,4.5130769760061344,5.984594821152131,8.072611523833201,3.6979026373010235,30.93969180401584
